! I B -9.361943773735241
! O B -5.147094293061428
! O I -5.223149940409189
! O O -6.017936225490436
!! O B -8.085693748397285
!! O I -7.725650280938373
!! O O -8.61220646843782
!!! O B -8.67065624911844
!!! O I -9.310612781659529
!!! O O -9.416063946259197
!!!! O I -9.310612781659529
!!!! O O -10.976778900733677
!!!!! O I -9.310612781659529
!!!!! O O -12.491352073563435
!: O O -12.713744494899883
home O O -9.90638957284228
hope O O -10.39181640001252
hopefully O O -12.713744494899883
hour O O -12.298706995621039
hours O O -12.491352073563435
house I B -8.361943773735241
house O O -11.83927537698374
how B O -10.388017285345136
how O O -10.169423978676072
hurt O O -12.713744494899883
i O * -7.136350341454156
i O B -9.67065624911844
i O O -7.409963746722779
i'll O * -11.136350341454156
i'll O O -12.491352073563435
i'm O * -10.136350341454156
i'm O O -11.298706995621039
idea O O -12.713744494899883
if O * -11.136350341454156
if O B -9.67065624911844
if O I -9.310612781659529
if O O -9.298706995621039
ik O O -12.491352073563435
ill O O -12.491352073563435
im I B -9.361943773735241
im O * -8.814422246566794
im O B -8.67065624911844
im O O -10.128781994178727
in I I -8.2667865406949
in O * -11.136350341454156
in O B -5.863301327060837
in O I -5.223149940409189
in O O -6.658462059398692
info O O -12.491352073563435
instead O B -9.67065624911844
instead O O -12.976778900733677
into O I -9.310612781659529
into O O -10.543819493457569
is O * -9.136350341454156
is O B -5.4227287356748555
is O I -5.310612781659529
is O O -7.205949854701187
it B O -10.388017285345136
it O * -11.136350341454156
it O O -6.619226896115592
its O * -8.551387840733
its O B -9.67065624911844
its O O -9.570786541057839
ive O O -12.491352073563435
job O O -11.2112441543707
jus O * -11.136350341454156
jus O O -12.976778900733677
just O * -10.136350341454156
just O B -8.67065624911844
just O I -9.310612781659529
just O O -8.254312876262585
keep O O -12.298706995621039
kids I I -8.2667865406949
kids O O -11.598267277479946
kill O O -12.128781994178727
know O O -8.759548184513008
known O O -12.713744494899883
la I I -8.2667865406949
la O O -12.976778900733677
last O * -11.136350341454156
last O I -9.310612781659529
last O O -9.598267277479946
late O O -11.39181640001252
later O B -7.348728154231079
later O O -11.39181640001252
laugh O O -11.976778900733677
least O O -12.128781994178727
leave O O -11.713744494899883
leaving O O -12.713744494899883
left O B -9.67065624911844
left O O -11.976778900733677
less O O -11.976778900733677
let O B -9.67065624911844
let O O -10.839275376983743
life O O -10.254312876262585
like O O -8.557240009219893
lil O O -12.491352073563435
line O B -9.67065624911844
line O O -12.713744494899883
list O O -11.713744494899883
little O O -11.491352073563435
live O O -10.90638957284228
living O O -12.491352073563435
lmao O O -12.491352073563435
lol O O -9.169423978676072
long O O -9.775145039564027
look O O -10.654850805846316
looking O * -10.136350341454156
looking O O -11.83927537698374
looks O * -11.136350341454156
looks O O -12.491352073563435
lost O O -11.83927537698374
lot O O -11.713744494899883
lots O O -12.298706995621039
love O B -9.67065624911844
love O I -9.310612781659529
love O O -9.367969658058152
loved O O -12.713744494899883
lovely O O -12.128781994178727
luck O O -11.976778900733677
mad O O -11.976778900733677
made O * -11.136350341454156
made O O -10.440726000493466
make O O -9.90638957284228
makes O O -11.713744494899883
making O B -9.67065624911844
making O O -11.976778900733677
man O * -10.136350341454156
man O O -11.976778900733677
many O O -12.128781994178727
market O O -12.491352073563435
may O B -9.67065624911844
may O I -9.310612781659529
may O O -9.90638957284228
maybe O I -9.310612781659529
maybe O O -11.976778900733677
me O O -7.5982672774799465
means O O -12.713744494899883
meet O * -11.136350341454156
meet O O -11.713744494899883
meeting O O -12.491352073563435
met O O -12.298706995621039
might O I -8.310612781659529
might O O -11.976778900733677
mind O O -12.128781994178727
mine O O -12.128781994178727
minutes O O -11.83927537698374
miss O O -10.976778900733677
missed O O -12.298706995621039
mom O O -11.491352073563435
moment O O -12.491352073563435
monday O O -12.713744494899883
money O O -12.298706995621039
month O O -11.128781994178727
months O O -11.598267277479946
more O O -9.941154991002955
morning O O -11.2112441543707
most O O -11.2112441543707
move O O -12.128781994178727
movie O O -12.128781994178727
much O O -10.169423978676072
music O O -11.713744494899883
must O * -11.136350341454156
must O O -11.83927537698374
my O * -9.136350341454156
my O B -9.67065624911844
my O O -7.0603022562959605
myself O O -12.128781994178727
n O * -11.136350341454156
n O O -11.598267277479946
n't O O -10.598267277479946
name O O -12.491352073563435
nap O O -12.491352073563435
near O O -12.713744494899883
need O O -9.654850805846316
never O O -10.713744494899881
new B O -10.388017285345136
new O * -11.136350341454156
new O O -10.01330477675879
news I B -9.361943773735241
news O O -12.491352073563435
next O * -10.136350341454156
next O B -7.348728154231079
next O I -7.725650280938373
next O O -9.51734728209638
nice O O -11.2112441543707
night O O -9.276339182592585
no O * -9.551387840733
no O O -9.626281653649542
not O * -11.136350341454156
not O O -8.584461477954918
nothing O O -11.598267277479946
now O * -11.136350341454156
now O B -7.670656249118441
now O O -9.01330477675879
o O O -11.298706995621039
of I B -5.902512155097943
of I I -6.681824039973744
of O * -11.136350341454156
of O B -8.67065624911844
of O O -6.868254443955507
off O O -9.51734728209638
office B O -10.388017285345136
office O B -9.67065624911844
office O O -12.128781994178727
official O O -12.713744494899883
oh O * -10.136350341454156
oh O O -10.976778900733677
ok O * -9.551387840733
ok O O -12.713744494899883
okay O O -12.128781994178727
old B O -10.388017285345136
old O O -11.050779482177454
omg O * -8.814422246566794
omg O O -12.976778900733677
on O B -6.085693748397285
on O I -5.610173063518436
on O O -6.949978841389962
once O O -11.976778900733677
one O B -9.67065624911844
one O O -8.85576349977231
online O O -12.713744494899883
only O * -11.136350341454156
only O O -10.598267277479946
open O O -12.713744494899883
or O B -8.67065624911844
or O I -9.310612781659529
or O O -9.543819493457569
other O O -10.775145039564027
our O O -9.941154991002955
out O I -9.310612781659529
out O O -8.17976592289753
over O B -9.67065624911844
over O O -10.39181640001252
own O O -11.976778900733677
part O O -12.713744494899883
party O * -11.136350341454156
party O B -7.085693748397285
party O O -10.90638957284228
past O O -11.713744494899883
people O O -9.626281653649542
phone O O -11.83927537698374
photo O O -12.713744494899883
pick O O -12.491352073563435
place O O -11.713744494899883
plans O I -9.310612781659529
plans O O -12.128781994178727
play O O -11.39181640001252
playing O B -9.67065624911844
playing O O -11.976778900733677
please O I -9.310612781659529
please O O -11.2112441543707
pm O O -11.39181640001252
ppl O O -11.713744494899883
practice O O -12.128781994178727
pretty O O -11.598267277479946
probably O O -12.713744494899883
problem O O -11.976778900733677
put O O -11.83927537698374
r O * -11.136350341454156
r O O -12.976778900733677
radio O O -12.713744494899883
rain O O -12.491352073563435
read O I -9.310612781659529
read O O -11.976778900733677
ready O O -10.775145039564027
real O O -12.713744494899883
really O * -11.136350341454156
really O O -10.050779482177454
reason O O -12.713744494899883
record O O -12.713744494899883
remember O O -10.90638957284228
rest O O -12.298706995621039
right O * -11.136350341454156
right O O -10.254312876262585
room O O -12.298706995621039
run O I -9.310612781659529
run O O -12.128781994178727
running B O -10.388017285345136
running O O -12.713744494899883
s I I -8.2667865406949
s O O -12.976778900733677
said O I -9.310612781659529
said O O -10.543819493457569
salsa B O -9.388017285345136
salsa O O -13.298706995621039
same O O -10.839275376983743
saw O O -11.2112441543707
say O B -8.67065624911844
say O O -9.941154991002955
says O * -11.136350341454156
says O B -7.348728154231079
says O I -7.725650280938373
says O O -12.713744494899883
school O O -10.08925362999209
season O O -11.2112441543707
second O O -12.298706995621039
seconds O O -12.491352073563435
see O O -9.298706995621039
seems O O -12.491352073563435
seen O O -11.491352073563435
send O O -12.298706995621039
seriously O O -12.713744494899883
set O O -11.83927537698374
she O I -9.310612781659529
she O O -9.976778900733677
shirt O O -12.713744494899883
shit O O -11.491352073563435
shoot O O -12.298706995621039
short O O -12.713744494899883
should O B -9.67065624911844
should O O -10.344510685234162
show I I -7.2667865406949
show O B -9.67065624911844
show O O -10.050779482177454
shows O O -12.298706995621039
since O B -9.67065624911844
since O I -9.310612781659529
since O O -11.83927537698374
sleep O O -10.654850805846316
slow O O -12.713744494899883
smile O O -11.598267277479946
so O * -10.136350341454156
so O B -7.670656249118441
so O I -9.310612781659529
so O O -8.39181640001252
some O * -11.136350341454156
some O O -9.069888305125158
someone O * -11.136350341454156
someone O O -10.839275376983743
something O O -10.775145039564027
soon O O -11.83927537698374
sorry O O -12.128781994178727
spend O O -12.491352073563435
spent O B -9.67065624911844
spent O O -12.713744494899883
start O O -10.713744494899881
started O B -9.67065624911844
started O O -12.298706995621039
starting O * -11.136350341454156
starting O O -12.976778900733677
starts O I -9.310612781659529
starts O O -12.491352073563435
stay O O -11.976778900733677
still O B -9.67065624911844
still O O -10.440726000493466
stop O O -11.598267277479946
stores O O -12.491352073563435
story I B -9.361943773735241
story O O -11.598267277479946
stuff O B -9.67065624911844
stuff O O -11.83927537698374
such O O -12.713744494899883
summer O O -12.491352073563435
sunday O O -11.713744494899883
super B * -7.159871336778389
super O O -12.298706995621039
supposed O O -12.128781994178727
sure O I -9.310612781659529
sure O O -10.775145039564027
swear O O -12.713744494899883
take O O -10.654850805846316
takes O I -7.725650280938373
takes O O -12.491352073563435
taking O O -12.491352073563435
talk O O -11.83927537698374
tea I B -9.361943773735241
tea O * -11.136350341454156
tea O I -9.310612781659529
tea O O -13.713744494899883
team I I -8.2667865406949
team O I -9.310612781659529
team O O -12.298706995621039
tell O * -11.136350341454156
tell O O -11.2112441543707
test O O -12.128781994178727
text O O -11.83927537698374
than O O -10.254312876262585
thank O * -11.136350341454156
thank O O -12.128781994178727
thanks O O -12.128781994178727
that O B -8.085693748397285
that O O -7.619226896115593
thats O O -12.298706995621039
the B O -7.218092283902823
the I B -8.361943773735241
the I I -7.2667865406949
the O * -8.551387840733
the O B -8.085693748397285
the O I -9.310612781659529
the O O -5.562305064302748
their O O -10.440726000493466
them O O -9.90638957284228
then O B -9.67065624911844
then O I -9.310612781659529
then O O -9.941154991002955
there O O -9.276339182592585
these O O -11.976778900733677
they O O -9.232617805163267
thing O O -10.90638957284228
things O O -11.598267277479946
think O O -9.683997151505832
thinking O O -12.491352073563435
this O * -11.136350341454156
this O B -8.67065624911844
this O I -8.310612781659529
this O O -7.906389572842278
those O O -12.128781994178727
though O B -9.67065624911844
though O O -10.90638957284228
thought O O -12.128781994178727
three O O -12.713744494899883
through O O -11.39181640001252
til O O -11.83927537698374
till O O -11.83927537698374
time O * -9.551387840733
time O B -9.67065624911844
time O I -9.310612781659529
time O O -7.4038892323130945
times O O -12.298706995621039
tired O O -11.39181640001252
to I I -8.2667865406949
to O * -11.136350341454156
to O B -7.348728154231079
to O I -5.851181163022231
to O O -5.6440709670930715
today O * -8.551387840733
today O B -6.670656249118441
today O I -7.310612781659529
today O O -7.775145039564026
told O B -8.67065624911844
told O O -12.976778900733677
tomorrow O B -6.348728154231078
tomorrow O I -6.725650280938373
tomorrow O O -8.872442240918941
tonight O * -10.136350341454156
tonight O B -5.5007312476761285
tonight O I -5.851181163022231
tonight O O -7.822973564654641
tonite O B -8.085693748397285
tonite O I -9.310612781659529
tonite O O -11.298706995621039
too O * -11.136350341454156
too O O -9.744118143943401
took O * -11.136350341454156
took O I -9.310612781659529
took O O -10.90638957284228
totally O O -12.713744494899883
town O O -12.298706995621039
trampled O O -12.713744494899883
tried O O -12.491352073563435
trip O I -8.310612781659529
trip O O -12.976778900733677
truck O B -8.67065624911844
truck O O -13.298706995621039
try O O -11.491352073563435
trying O O -12.128781994178727
turn O O -12.128781994178727
turns O O -12.491352073563435
tweet O O -11.050779482177454
twitter B O -6.580662363287532
two O * -11.136350341454156
two O O -11.050779482177454
u O * -11.136350341454156
u O O -8.453216944676663
under O I -9.310612781659529
under O O -12.713744494899883
until O O -11.39181640001252
up O B -9.67065624911844
up O O -8.099034650784674
ur O B -9.67065624911844
ur O O -10.440726000493466
us O O -10.344510685234162
used O O -12.298706995621039
very O O -11.2112441543707
via O O -10.654850805846316
video O B -7.670656249118441
video O O -11.598267277479946
vs O B -7.670656249118441
vs O O -13.713744494899883
w/ O I -8.310612781659529
w/ O O -12.976778900733677
wait O O -10.491352073563435
waiting O * -11.136350341454156
waiting O O -12.298706995621039
wake O * -11.136350341454156
wake O O -12.491352073563435
wanna O O -10.976778900733677
want O O -9.713744494899881
wanted O O -12.491352073563435
wants O I -9.310612781659529
wants O O -12.976778900733677
was O * -10.136350341454156
was O B -5.863301327060837
was O I -6.988684686772167
was O O -8.321427072121121
watch O O -11.713744494899883
watching O * -9.551387840733
watching O O -11.976778900733677
water O O -12.128781994178727
way O O -10.90638957284228
we O * -11.136350341454156
we O B -9.67065624911844
we O O -8.923667564274114
we'll O O -12.491352073563435
wear O O -11.598267277479946
wearing O O -12.713744494899883
week I B -9.361943773735241
week I I -7.2667865406949
week O O -8.243424560119848
weekend O * -11.136350341454156
weekend O O -10.344510685234162
weeks O O -10.543819493457569
well O * -10.136350341454156
well O B -9.67065624911844
well O O -9.90638957284228
went O I -9.310612781659529
went O O -11.491352073563435
were O * -11.136350341454156
were O O -10.128781994178727
what O * -9.551387840733
what O O -9.321427072121121
when B O -10.388017285345136
when O * -10.136350341454156
when O B -7.348728154231079
when O I -9.310612781659529
when O O -7.200674912660512
where O O -10.839275376983743
which O O -11.976778900733677
while O O -12.491352073563435
who O B -8.67065624911844
who O I -9.310612781659529
who O O -10.050779482177454
why O B -9.67065624911844
why O O -10.90638957284228
will O * -11.136350341454156
will O B -6.348728154231078
will O I -6.725650280938373
will O O -8.61220646843782
win O O -11.83927537698374
wish O O -12.298706995621039
wit I B -9.361943773735241
wit O O -11.83927537698374
with I I -8.2667865406949
with O B -7.348728154231079
with O I -8.310612781659529
with O O -7.872442240918941
without O O -12.491352073563435
won O O -12.713744494899883
won't O B -9.67065624911844
won't O O -12.298706995621039
wonder O O -12.491352073563435
wonderful O O -12.298706995621039
word O O -11.713744494899883
work O O -9.713744494899881
working O O -12.128781994178727
world I B -9.361943773735241
world O O -11.39181640001252
would O I -9.310612781659529
would O O -9.839275376983743
write O O -12.713744494899883
wrong O O -11.976778900733677
wrote O O -12.491352073563435
x O O -10.654850805846316
xD O O -12.491352073563435
xx O O -11.83927537698374
ya O O -11.713744494899883
yea O O -12.713744494899883
yeah O O -11.298706995621039
year O O -9.543819493457569
years O O -9.367969658058152
yes O O -11.598267277479946
yesterday O B -9.67065624911844
yesterday O O -11.128781994178727
yet O B -9.67065624911844
yet O O -12.128781994178727
yo I I -8.2667865406949
yo O O -12.976778900733677
yoiu O O -12.713744494899883
you B O -10.388017285345136
you O * -11.136350341454156
you O B -9.67065624911844
you O I -9.310612781659529
you O O -6.394825149884859
you're O O -10.543819493457569
your O O -8.3561924902818
yours O O -12.298706995621039
yourself O O -11.83927537698374
| I B -9.361943773735241
| O B -9.67065624911844
| O I -6.988684686772167
| O O -10.491352073563435
