! O O -6.017936225490436
! O company -5.366322214245815
! O facility -4.643856189774725
! O loc -5.03342300153745
! O musicartist -5.7279204545632
! O other -5.189824558880018
! O person -5.4561490346479955
! O product -5.569855608330948
! O sportsteam -3.6438561897747244
! O tvshow -5.044394119358453
! other other -8.326429487122303
!! O O -8.61220646843782
!! O company -7.366322214245815
!! O facility -6.643856189774725
!! O other -7.774787059601174
!! O person -8.778077129535358
!! O sportsteam -5.643856189774724
!! O tvshow -5.044394119358453
!!! O O -9.416063946259197
!!! O movie -5.08746284125034
!!! O person -8.778077129535358
!!! O tvshow -5.044394119358453
!!!! O O -10.976778900733677
!!!! O person -8.778077129535358
!!!!! O O -12.491352073563435
!!!!! O facility -6.643856189774725
!: O O -12.713744494899883
car O O -12.298706995621039
catch O O -11.713744494899883
cause O O -12.298706995621039
celebrate O O -12.713744494899883
celebrate O person -8.778077129535358
chance O O -11.83927537698374
check O * -11.136350341454156
check O O -10.90638957284228
child O O -12.713744494899883
choose O O -12.713744494899883
class O O -11.598267277479946
close O O -12.491352073563435
com O O -11.298706995621039
come O O -9.872442240918941
come O other -7.774787059601174
comes O O -12.298706995621039
comes O other -7.774787059601174
coming O O -10.90638957284228
coming O tvshow -4.044394119358453
company O O -12.713744494899883
concert O O -11.976778900733677
concert O person -5.778077129535358
cont O O -12.713744494899883
cool O O -11.598267277479946
could O O -10.775145039564027
couple O O -12.298706995621039
crazy O O -11.713744494899883
cuz O * -11.136350341454156
cuz O O -12.298706995621039
d O O -12.491352073563435
da O O -11.83927537698374
dad O O -11.491352073563435
dance O O -11.976778900733677
dat O O -12.713744494899883
day O O -7.327163441670267
day musicartist musicartist -5.930737337562887
day other other -8.326429487122303
days O O -9.190182538842869
de O O -12.491352073563435
de person person -7.74819284958946
definitely O O -12.713744494899883
did O O -10.344510685234162
did O person -8.778077129535358
didn't O O -12.128781994178727
didnt O O -12.491352073563435
die O O -11.976778900733677
different O O -12.713744494899883
dinner O O -11.598267277479946
do O O -8.557240009219893
do other other -8.326429487122303
does O * -11.136350341454156
does O O -12.298706995621039
doesn't O O -11.976778900733677
doing O O -10.976778900733677
doing O person -8.778077129535358
don't O O -9.683997151505832
don't O person -8.778077129535358
done O O -10.775145039564027
dont O O -11.598267277479946
down O O -10.90638957284228
dream O O -11.713744494899883
dreams O O -12.713744494899883
drink O O -12.491352073563435
drinks O O -12.713744494899883
driving O O -11.976778900733677
drug O O -12.298706995621039
drunk O O -12.713744494899883
due O O -12.713744494899883
during O O -12.298706995621039
during O other -7.774787059601174
during O product -6.569855608330948
each O O -12.491352073563435
each O person -8.778077129535358
earlier O O -13.298706995621039
earlier O product -5.569855608330948
early O O -11.298706995621039
easy O O -12.713744494899883
eat O O -12.713744494899883
een O O -12.298706995621039
else O O -12.128781994178727
em O O -12.491352073563435
email O O -12.491352073563435
end O O -11.39181640001252
enjoy O O -12.298706995621039
enter O O -12.713744494899883
epic O O -12.491352073563435
even O * -10.136350341454156
even O O -10.254312876262585
evening O O -12.491352073563435
event O O -13.298706995621039
event O loc -8.03342300153745
event O other -7.774787059601174
ever O O -11.598267277479946
ever O company -7.366322214245815
every O * -9.551387840733
every O O -10.298706995621039
everyday O O -12.491352073563435
everyone O O -11.39181640001252
everything O O -11.491352073563435
excited O O -10.775145039564027
extra O O -12.713744494899883
face O O -11.976778900733677
facebook company O -4.681824039973746
faces O O -13.298706995621039
faces O loc -8.03342300153745
faces O person -8.778077129535358
failed O O -12.713744494899883
fall O O -12.713744494899883
family O O -12.976778900733677
family O person -8.778077129535358
family other other -8.326429487122303
fans O O -12.976778900733677
fans O loc -8.03342300153745
fans O musicartist -5.7279204545632
fans O person -8.778077129535358
fans O sportsteam -5.643856189774724
far O O -12.128781994178727
fast O O -12.491352073563435
fast O loc -8.03342300153745
favorite O O -12.491352073563435
feel O O -10.654850805846316
feeling O O -11.128781994178727
few O O -10.491352073563435
finally O O -12.128781994178727
find O O -11.2112441543707
first O O -10.128781994178727
five O O -12.298706995621039
follow O O -11.491352073563435
followers O O -11.713744494899883
following O O -12.713744494899883
food O O -12.713744494899883
food O loc -8.03342300153745
foot O O -12.713744494899883
football O * -11.136350341454156
football O O -13.713744494899883
football O sportsteam -4.643856189774724
football other other -8.326429487122303
for O O -6.8599151430427785
for O company -5.781359713524659
for O facility -5.643856189774725
for O loc -5.226068079479846
for O movie -5.08746284125034
for O musicartist -5.7279204545632
for O person -8.778077129535358
for O product -4.569855608330948
for O sportsteam -5.643856189774724
for O tvshow -4.044394119358453
forget O * -11.136350341454156
forget O O -11.976778900733677
forward O O -12.128781994178727
found O * -11.136350341454156
found O O -11.298706995621039
free O O -11.2112441543707
free O facility -6.643856189774725
fresh O O -12.491352073563435
friday O * -11.136350341454156
friday O O -10.39181640001252
friend O O -12.128781994178727
friends O O -11.050779482177454
from O O -8.775145039564027
from O person -7.778077129535358
from O tvshow -5.044394119358453
front O O -12.713744494899883
fucking O O -12.298706995621039
full O O -11.598267277479946
fun O O -11.2112441543707
funny O O -12.713744494899883
funny facility facility -6.727920454563199
game O * -11.136350341454156
game O O -10.298706995621039
game O company -7.366322214245815
game O loc -8.03342300153745
game O sportsteam -4.643856189774724
games O O -12.713744494899883
games O company -7.366322214245815
games O facility -6.643856189774725
get O * -11.136350341454156
get O O -8.050779482177454
get O facility -6.643856189774725
get O other -7.774787059601174
get O person -8.778077129535358
gets O O -11.83927537698374
gets O person -6.778077129535358
getting O O -11.050779482177454
girl O O -11.598267277479946
give O O -11.298706995621039
giving O O -12.713744494899883
glad O O -12.713744494899883
go O O -8.713744494899883
go O person -8.778077129535358
goes O O -11.713744494899883
goes O person -7.778077129535358
goin O O -12.491352073563435
going O * -8.551387840733
going O O -9.321427072121121
gone O O -11.83927537698374
gone other other -8.326429487122303
gonna O O -10.254312876262585
good O * -10.136350341454156
good O O -9.254312876262585
got O O -9.069888305125158
got O person -8.778077129535358
great O O -10.440726000493466
group O O -12.713744494899883
guess O O -12.491352073563435
guy O O -12.128781994178727
guys O O -11.83927537698374
gym O * -11.136350341454156
gym O O -12.713744494899883
ha O O -12.128781994178727
had O * -11.136350341454156
had O O -9.440726000493466
had O person -7.778077129535358
haha O * -10.136350341454156
haha O O -11.298706995621039
haha O tvshow -5.044394119358453
hair O O -11.298706995621039
half O O -11.976778900733677
hang O O -12.713744494899883
happen O O -12.298706995621039
happens O O -12.491352073563435
happy O O -10.839275376983743
hard O O -12.298706995621039
has O O -9.941154991002955
has O company -6.366322214245815
has O loc -8.03342300153745
has O other -6.774787059601174
has O person -7.778077129535358
has O product -5.569855608330948
hate O O -10.543819493457569
have O * -11.136350341454156
have O O -7.713744494899883
have O loc -8.03342300153745
have O other -7.774787059601174
have O person -8.778077129535358
haven't O O -12.128781994178727
having O O -11.598267277479946
he O * -11.136350341454156
he O O -9.148959876116358
head O O -11.598267277479946
head O loc -8.03342300153745
heard O O -12.491352073563435
heart O O -11.713744494899883
help O O -11.598267277479946
her O O -9.465816981456296
here O O -10.128781994178727
here O company -7.366322214245815
here O loc -8.03342300153745
hey O O -12.128781994178727
high O O -11.83927537698374
high movie movie -5.523561956057013
him O O -10.169423978676072
his O O -9.654850805846316
hit O O -12.128781994178727
hold O O -12.713744494899883
home O O -9.90638957284228
hope O O -10.39181640001252
hopefully O O -12.713744494899883
hour O O -12.298706995621039
hours O O -12.491352073563435
house O O -11.83927537698374
house facility facility -5.727920454563199
how O O -10.169423978676072
how movie O -4.807354922057604
hurt O O -12.713744494899883
i O * -7.136350341454156
i O O -7.409963746722779
i O person -8.778077129535358
i'll O * -11.136350341454156
i'll O O -12.491352073563435
i'm O * -10.136350341454156
i'm O O -11.298706995621039
idea O O -12.713744494899883
if O * -11.136350341454156
if O O -9.298706995621039
if O person -7.778077129535358
ik O O -12.491352073563435
ill O O -12.491352073563435
im O * -8.814422246566794
im O O -10.128781994178727
im O person -7.778077129535358
im other other -8.326429487122303
in O * -11.136350341454156
in O O -6.658462059398692
in O facility -3.6438561897747253
in O loc -5.448460500816294
in O musicartist -5.7279204545632
in O other -5.189824558880018
in O person -6.193114628814202
in O product -4.984893107609792
in O tvshow -5.044394119358453
in other other -8.326429487122303
info O O -12.491352073563435
instead O O -12.976778900733677
instead O person -8.778077129535358
into O O -10.543819493457569
into O person -8.778077129535358
is O * -9.136350341454156
is O O -7.205949854701187
is O company -5.366322214245815
is O loc -8.03342300153745
is O movie -4.08746284125034
is O musicartist -4.7279204545632
is O other -4.774787059601174
is O person -4.871186533926839
is O product -6.569855608330948
is O tvshow -4.044394119358453
it O * -11.136350341454156
it O O -6.619226896115592
it tvshow O -5.08746284125034
its O * -8.551387840733
its O O -9.570786541057839
its O loc -8.03342300153745
ive O O -12.491352073563435
job O O -11.2112441543707
jus O * -11.136350341454156
jus O O -12.976778900733677
just O * -10.136350341454156
just O O -8.254312876262585
just O company -6.366322214245815
just O movie -5.08746284125034
keep O O -12.298706995621039
kids O O -11.598267277479946
kids product product -6.339850002884625
kill O O -12.128781994178727
know O O -8.759548184513008
known O O -12.713744494899883
la O O -12.976778900733677
la person person -7.74819284958946
last O * -11.136350341454156
last O O -9.598267277479946
last O other -7.774787059601174
late O O -11.39181640001252
later O O -11.39181640001252
later O company -5.0443941193584525
laugh O O -11.976778900733677
least O O -12.128781994178727
leave O O -11.713744494899883
leaving O O -12.713744494899883
left O O -11.976778900733677
left O person -8.778077129535358
less O O -11.976778900733677
let O O -10.839275376983743
let O loc -8.03342300153745
life O O -10.254312876262585
like O O -8.557240009219893
lil O O -12.491352073563435
line O O -12.713744494899883
line O loc -8.03342300153745
list O O -11.713744494899883
little O O -11.491352073563435
live O O -10.90638957284228
living O O -12.491352073563435
lmao O O -12.491352073563435
lol O O -9.169423978676072
long O O -9.775145039564027
look O O -10.654850805846316
looking O * -10.136350341454156
looking O O -11.83927537698374
looks O * -11.136350341454156
looks O O -12.491352073563435
lost O O -11.83927537698374
lot O O -11.713744494899883
lots O O -12.298706995621039
love O O -9.367969658058152
love O person -7.778077129535358
loved O O -12.713744494899883
lovely O O -12.128781994178727
luck O O -11.976778900733677
mad O O -11.976778900733677
made O * -11.136350341454156
made O O -10.440726000493466
make O O -9.90638957284228
makes O O -11.713744494899883
making O O -11.976778900733677
making O loc -8.03342300153745
man O * -10.136350341454156
man O O -11.976778900733677
many O O -12.128781994178727
market O O -12.491352073563435
may O O -9.90638957284228
may O other -7.774787059601174
may O person -8.778077129535358
maybe O O -11.976778900733677
maybe O person -8.778077129535358
me O O -7.5982672774799465
means O O -12.713744494899883
meet O * -11.136350341454156
meet O O -11.713744494899883
meeting O O -12.491352073563435
met O O -12.298706995621039
might O O -11.976778900733677
might O movie -4.08746284125034
mind O O -12.128781994178727
mine O O -12.128781994178727
minutes O O -11.83927537698374
miss O O -10.976778900733677
missed O O -12.298706995621039
mom O O -11.491352073563435
moment O O -12.491352073563435
monday O O -12.713744494899883
money O O -12.298706995621039
month O O -11.128781994178727
months O O -11.598267277479946
more O O -9.941154991002955
morning O O -11.2112441543707
most O O -11.2112441543707
move O O -12.128781994178727
movie O O -12.128781994178727
much O O -10.169423978676072
music O O -11.713744494899883
must O * -11.136350341454156
must O O -11.83927537698374
my O * -9.136350341454156
my O O -7.0603022562959605
my O person -8.778077129535358
myself O O -12.128781994178727
n O * -11.136350341454156
n O O -11.598267277479946
n't O O -10.598267277479946
name O O -12.491352073563435
nap O O -12.491352073563435
near O O -12.713744494899883
need O O -9.654850805846316
never O O -10.713744494899881
new O * -11.136350341454156
new O O -10.01330477675879
new facility O -6.569855608330948
news O O -12.491352073563435
news other other -8.326429487122303
next O * -10.136350341454156
next O O -9.51734728209638
next O facility -6.643856189774725
next O loc -5.711494906650088
next O movie -5.08746284125034
next O other -7.774787059601174
nice O O -11.2112441543707
night O O -9.276339182592585
no O * -9.551387840733
no O O -9.626281653649542
not O * -11.136350341454156
not O O -8.584461477954918
nothing O O -11.598267277479946
now O * -11.136350341454156
now O O -9.01330477675879
now O company -6.366322214245815
now O other -7.774787059601174
now O person -8.778077129535358
o O O -11.298706995621039
of O * -11.136350341454156
of O O -6.868254443955507
of O other -7.774787059601174
of O person -8.778077129535358
of facility facility -6.727920454563199
of loc loc -5.700439718141093
of musicartist musicartist -4.930737337562887
of other other -5.15650448567999
of product product -6.339850002884625
off O O -9.51734728209638
office O O -12.128781994178727
office O company -7.366322214245815
office product O -6.39231742277876
official O O -12.713744494899883
oh O * -10.136350341454156
oh O O -10.976778900733677
ok O * -9.551387840733
ok O O -12.713744494899883
okay O O -12.128781994178727
old O O -11.050779482177454
old company O -7.266786540694902
omg O * -8.814422246566794
omg O O -12.976778900733677
on O O -6.949978841389962
on O facility -4.058893689053569
on O loc -5.711494906650088
on O other -6.189824558880018
on O person -6.193114628814202
on O product -4.569855608330948
on O sportsteam -5.643856189774724
once O O -11.976778900733677
one O O -8.85576349977231
one O loc -8.03342300153745
online O O -12.713744494899883
only O * -11.136350341454156
only O O -10.598267277479946
open O O -12.713744494899883
or O O -9.543819493457569
or O company -7.366322214245815
or O loc -8.03342300153745
or O product -6.569855608330948
other O O -10.775145039564027
our O O -9.941154991002955
out O O -8.17976592289753
out O person -8.778077129535358
over O O -10.39181640001252
over O product -6.569855608330948
own O O -11.976778900733677
part O O -12.713744494899883
party O * -11.136350341454156
party O O -10.90638957284228
party O loc -5.448460500816294
past O O -11.713744494899883
people O O -9.626281653649542
phone O O -11.83927537698374
photo O O -12.713744494899883
pick O O -12.491352073563435
place O O -11.713744494899883
plans O O -12.128781994178727
plans O person -8.778077129535358
play O O -11.39181640001252
playing O O -11.976778900733677
playing O person -8.778077129535358
please O O -11.2112441543707
please O loc -8.03342300153745
pm O O -11.39181640001252
ppl O O -11.713744494899883
practice O O -12.128781994178727
pretty O O -11.598267277479946
probably O O -12.713744494899883
problem O O -11.976778900733677
put O O -11.83927537698374
r O * -11.136350341454156
r O O -12.976778900733677
radio O O -12.713744494899883
rain O O -12.491352073563435
read O O -11.976778900733677
read O person -8.778077129535358
ready O O -10.775145039564027
real O O -12.713744494899883
really O * -11.136350341454156
really O O -10.050779482177454
reason O O -12.713744494899883
record O O -12.713744494899883
remember O O -10.90638957284228
rest O O -12.298706995621039
right O * -11.136350341454156
right O O -10.254312876262585
room O O -12.298706995621039
run O O -12.128781994178727
run O person -8.778077129535358
running O O -12.713744494899883
running tvshow O -5.08746284125034
s O O -12.976778900733677
s company company -5.169925001442312
said O O -10.543819493457569
said O person -8.778077129535358
salsa O O -13.298706995621039
salsa person O -7.643856189774725
same O O -10.839275376983743
saw O O -11.2112441543707
say O O -9.941154991002955
say O person -7.778077129535358
says O * -11.136350341454156
says O O -12.713744494899883
says O other -6.774787059601174
says O person -6.193114628814202
school O O -10.08925362999209
season O O -11.2112441543707
second O O -12.298706995621039
seconds O O -12.491352073563435
see O O -9.298706995621039
seems O O -12.491352073563435
seen O O -11.491352073563435
send O O -12.298706995621039
seriously O O -12.713744494899883
set O O -11.83927537698374
she O O -9.976778900733677
she O person -8.778077129535358
shirt O O -12.713744494899883
shit O O -11.491352073563435
shoot O O -12.298706995621039
short O O -12.713744494899883
should O O -10.344510685234162
should O person -8.778077129535358
show O O -10.050779482177454
show O other -7.774787059601174
show movie movie -5.523561956057013
show tvshow tvshow -4.954196310386876
shows O O -12.298706995621039
since O O -11.83927537698374
since O company -7.366322214245815
since O person -8.778077129535358
sleep O O -10.654850805846316
slow O O -12.713744494899883
smile O O -11.598267277479946
so O * -10.136350341454156
so O O -8.39181640001252
so O company -6.366322214245815
so O loc -8.03342300153745
so O other -6.774787059601174
some O * -11.136350341454156
some O O -9.069888305125158
someone O * -11.136350341454156
someone O O -10.839275376983743
something O O -10.775145039564027
soon O O -11.83927537698374
sorry O O -12.128781994178727
spend O O -12.491352073563435
spent O O -12.713744494899883
spent O person -8.778077129535358
start O O -10.713744494899881
started O O -12.298706995621039
started O other -7.774787059601174
starting O * -11.136350341454156
starting O O -12.976778900733677
starts O O -12.491352073563435
starts O other -7.774787059601174
stay O O -11.976778900733677
still O O -10.440726000493466
still O person -8.778077129535358
stop O O -11.598267277479946
stores O O -12.491352073563435
story O O -11.598267277479946
story movie movie -5.523561956057013
stuff O O -11.83927537698374
stuff O loc -8.03342300153745
such O O -12.713744494899883
summer O O -12.491352073563435
sunday O O -11.713744494899883
super O O -12.298706995621039
super product * -3.5849625007211565
supposed O O -12.128781994178727
sure O O -10.775145039564027
sure O person -8.778077129535358
swear O O -12.713744494899883
take O O -10.654850805846316
takes O O -12.491352073563435
takes O person -7.193114628814202
taking O O -12.491352073563435
talk O O -11.83927537698374
tea O * -11.136350341454156
tea O O -13.713744494899883
tea O other -7.774787059601174
tea product product -6.339850002884625
team O O -12.298706995621039
team O sportsteam -5.643856189774724
team sportsteam sportsteam -4.523561956057013
tell O * -11.136350341454156
tell O O -11.2112441543707
test O O -12.128781994178727
text O O -11.83927537698374
than O O -10.254312876262585
thank O * -11.136350341454156
thank O O -12.128781994178727
thanks O O -12.128781994178727
that O O -7.619226896115593
that O company -7.366322214245815
that O loc -8.03342300153745
that O product -6.569855608330948
thats O O -12.298706995621039
the O * -8.551387840733
the O O -5.562305064302748
the O loc -8.03342300153745
the O other -7.774787059601174
the O person -7.778077129535358
the facility O -4.247927513443585
the facility facility -6.727920454563199
the loc O -8.011227255423254
the musicartist O -5.643856189774724
the other other -7.326429487122303
the product product -6.339850002884625
the sportsteam O -4.357552004618084
their O O -10.440726000493466
them O O -9.90638957284228
then O O -9.941154991002955
then O loc -8.03342300153745
then O other -7.774787059601174
there O O -9.276339182592585
these O O -11.976778900733677
they O O -9.232617805163267
thing O O -10.90638957284228
things O O -11.598267277479946
think O O -9.683997151505832
thinking O O -12.491352073563435
this O * -11.136350341454156
this O O -7.906389572842278
this O loc -7.03342300153745
this O musicartist -5.7279204545632
this O sportsteam -5.643856189774724
those O O -12.128781994178727
though O O -10.90638957284228
though O other -7.774787059601174
thought O O -12.128781994178727
three O O -12.713744494899883
through O O -11.39181640001252
til O O -11.83927537698374
till O O -11.83927537698374
time O * -9.551387840733
time O O -7.4038892323130945
time O loc -8.03342300153745
time O product -6.569855608330948
times O O -12.298706995621039
tired O O -11.39181640001252
to O * -11.136350341454156
to O O -5.6440709670930715
to O company -5.781359713524659
to O facility -5.643856189774725
to O other -5.774787059601174
to O person -6.456149034647996
to O product -6.569855608330948
to O sportsteam -5.643856189774724
to product product -6.339850002884625
today O * -8.551387840733
today O O -7.775145039564026
today O company -5.781359713524659
today O facility -6.643856189774725
today O loc -6.03342300153745
today O person -7.193114628814202
today O product -6.569855608330948
told O O -12.976778900733677
told O person -7.778077129535358
tomorrow O O -8.872442240918941
tomorrow O facility -6.643856189774725
tomorrow O loc -4.863498000095138
tomorrow O musicartist -5.7279204545632
tomorrow O other -5.774787059601174
tomorrow O person -8.778077129535358
tonight O * -10.136350341454156
tonight O O -7.822973564654641
tonight O facility -3.6438561897747253
tonight O loc -5.226068079479846
tonight O movie -5.08746284125034
tonight O musicartist -4.7279204545632
tonight O other -5.774787059601174
tonight O person -7.778077129535358
tonight O sportsteam -3.6438561897747244
tonight O tvshow -5.044394119358453
tonite O O -11.298706995621039
tonite O facility -6.643856189774725
tonite O loc -8.03342300153745
tonite O person -8.778077129535358
tonite O product -6.569855608330948
too O * -11.136350341454156
too O O -9.744118143943401
took O * -11.136350341454156
took O O -10.90638957284228
took O person -8.778077129535358
totally O O -12.713744494899883
town O O -12.298706995621039
trampled O O -12.713744494899883
tried O O -12.491352073563435
trip O O -12.976778900733677
trip O facility -6.643856189774725
trip O person -8.778077129535358
truck O O -13.298706995621039
truck O company -6.366322214245815
try O O -11.491352073563435
trying O O -12.128781994178727
turn O O -12.128781994178727
turns O O -12.491352073563435
tweet O O -11.050779482177454
twitter company O -3.459431618637298
two O * -11.136350341454156
two O O -11.050779482177454
u O * -11.136350341454156
u O O -8.453216944676663
under O O -12.713744494899883
under O other -7.774787059601174
until O O -11.39181640001252
up O O -8.099034650784674
up O person -8.778077129535358
ur O O -10.440726000493466
ur O company -7.366322214245815
us O O -10.344510685234162
used O O -12.298706995621039
very O O -11.2112441543707
via O O -10.654850805846316
video O O -11.598267277479946
video O company -5.366322214245815
vs O O -13.713744494899883
vs O other -7.774787059601174
vs O sportsteam -4.058893689053568
w/ O O -12.976778900733677
w/ O other -7.774787059601174
w/ O product -6.569855608330948
wait O O -10.491352073563435
waiting O * -11.136350341454156
waiting O O -12.298706995621039
wake O * -11.136350341454156
wake O O -12.491352073563435
wanna O O -10.976778900733677
want O O -9.713744494899881
wanted O O -12.491352073563435
wants O O -12.976778900733677
wants O facility -6.643856189774725
was O * -10.136350341454156
was O O -8.321427072121121
was O company -7.366322214245815
was O loc -7.03342300153745
was O movie -5.08746284125034
was O other -7.774787059601174
was O person -5.193114628814202
was O product -6.569855608330948
was O tvshow -5.044394119358453
watch O O -11.713744494899883
watching O * -9.551387840733
watching O O -11.976778900733677
water O O -12.128781994178727
way O O -10.90638957284228
we O * -11.136350341454156
we O O -8.923667564274114
we O facility -6.643856189774725
we'll O O -12.491352073563435
wear O O -11.598267277479946
wearing O O -12.713744494899883
week O O -8.243424560119848
week other other -6.7414669864011465
weekend O * -11.136350341454156
weekend O O -10.344510685234162
weeks O O -10.543819493457569
well O * -10.136350341454156
well O O -9.90638957284228
well O sportsteam -5.643856189774724
went O O -11.491352073563435
went O product -6.569855608330948
were O * -11.136350341454156
were O O -10.128781994178727
what O * -9.551387840733
what O O -9.321427072121121
when O * -10.136350341454156
when O O -7.200674912660512
when O loc -8.03342300153745
when O person -6.778077129535358
when O product -6.569855608330948
when other O -7.6147098441152075
where O O -10.839275376983743
which O O -11.976778900733677
while O O -12.491352073563435
who O O -10.050779482177454
who O loc -7.03342300153745
who O person -8.778077129535358
why O O -10.90638957284228
why O company -7.366322214245815
will O * -11.136350341454156
will O O -8.61220646843782
will O company -7.366322214245815
will O musicartist -5.7279204545632
will O other -7.774787059601174
will O person -5.31864551089806
will O sportsteam -5.643856189774724
will O tvshow -5.044394119358453
win O O -11.83927537698374
wish O O -12.298706995621039
wit O O -11.83927537698374
wit tvshow tvshow -4.954196310386876
with O O -7.872442240918941
with O facility -5.643856189774725
with O person -8.778077129535358
with O product -4.984893107609792
with O sportsteam -5.643856189774724
with product product -6.339850002884625
without O O -12.491352073563435
won O O -12.713744494899883
won't O O -12.298706995621039
won't O other -7.774787059601174
wonder O O -12.491352073563435
wonderful O O -12.298706995621039
word O O -11.713744494899883
work O O -9.713744494899881
working O O -12.128781994178727
world O O -11.39181640001252
world facility facility -6.727920454563199
would O O -9.839275376983743
would O other -7.774787059601174
write O O -12.713744494899883
wrong O O -11.976778900733677
wrote O O -12.491352073563435
x O O -10.654850805846316
xD O O -12.491352073563435
xx O O -11.83927537698374
ya O O -11.713744494899883
yea O O -12.713744494899883
yeah O O -11.298706995621039
year O O -9.543819493457569
years O O -9.367969658058152
yes O O -11.598267277479946
yesterday O O -11.128781994178727
yesterday O company -7.366322214245815
yet O O -12.128781994178727
yet O loc -8.03342300153745
yo O O -12.976778900733677
yo other other -8.326429487122303
yoiu O O -12.713744494899883
you O * -11.136350341454156
you O O -6.394825149884859
you O company -7.366322214245815
you O person -8.778077129535358
you company O -7.266786540694902
you're O O -10.543819493457569
your O O -8.3561924902818
yours O O -12.298706995621039
yourself O O -11.83927537698374
| O O -10.491352073563435
| O loc -8.03342300153745
| O person -6.456149034647996
| company company -5.169925001442312
