PC=00000000, SP=00000000, A=00000000, B=00000000, ldc 00001000
PC=0000003A, SP=00000FFB, A=00000001, B=00000001, ldc 00000001
PC=0000003B, SP=00000FFB, A=00000001, B=00000001, ldl 00000005
PC=0000003C, SP=00000FFB, A=00000041, B=00000001, add
PC=0000003D, SP=00000FFB, A=00000042, B=00000001, br FFFFFFD4
PC=00000012, SP=00000FFB, A=00000042, B=00000001, ldl 00000004
PC=00000013, SP=00000FFB, A=0000000A, B=00000042, ldl 00000002
PC=00000014, SP=00000FFB, A=00000002, B=0000000A, sub
PC=00000015, SP=00000FFB, A=00000008, B=0000000A, ldc 00000001
PC=00000016, SP=00000FFB, A=00000001, B=00000008, sub
PC=00000017, SP=00000FFB, A=00000007, B=00000008, brz 00000026
PC=00000018, SP=00000FFB, A=00000007, B=00000008, ldc 00000001
PC=00000019, SP=00000FFB, A=00000001, B=00000007, stl 00000001
PC=0000001A, SP=00000FFB, A=00000007, B=00000007, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000007, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000001, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000007, B=00000008, brz 00000016
PC=00000020, SP=00000FFB, A=00000007, B=00000008, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000007, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000007, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000001, B=00000001, add
PC=00000034, SP=00000FFB, A=00000002, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000002, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000006, B=00000008, brz 00000016
PC=00000020, SP=00000FFB, A=00000006, B=00000008, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000006, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000006, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000002, B=00000001, add
PC=00000034, SP=00000FFB, A=00000003, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000003, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000005, B=00000008, brz 00000016
PC=00000020, SP=00000FFB, A=00000005, B=00000008, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000005, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000005, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000003, B=00000001, add
PC=00000034, SP=00000FFB, A=00000004, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000004, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000004, B=00000008, brz 00000016
PC=00000020, SP=00000FFB, A=00000004, B=00000008, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000004, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000004, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000004, B=00000001, add
PC=00000034, SP=00000FFB, A=00000005, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000005, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000003, B=00000008, brz 00000016
PC=00000020, SP=00000FFB, A=00000003, B=00000008, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000003, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000003, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000005, B=00000001, add
PC=00000034, SP=00000FFB, A=00000006, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000006, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000002, B=00000008, brz 00000016
PC=00000020, SP=00000FFB, A=00000002, B=00000008, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000002, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000002, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000006, B=00000001, add
PC=00000034, SP=00000FFB, A=00000007, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000007, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000001, B=00000008, brz 00000016
PC=00000020, SP=00000FFB, A=00000001, B=00000008, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000001, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000001, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000007, B=00000001, add
PC=00000034, SP=00000FFB, A=00000008, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000002, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000008, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000008, B=00000008, sub
PC=0000001F, SP=00000FFB, A=00000000, B=00000008, brz 00000016
PC=00000036, SP=00000FFB, A=00000000, B=00000008, ldc 00000001
PC=00000037, SP=00000FFB, A=00000001, B=00000000, ldl 00000002
PC=00000038, SP=00000FFB, A=00000002, B=00000001, add
PC=00000039, SP=00000FFB, A=00000003, B=00000001, stl 00000002
PC=0000003A, SP=00000FFB, A=00000001, B=00000001, ldc 00000001
PC=0000003B, SP=00000FFB, A=00000001, B=00000001, ldl 00000005
PC=0000003C, SP=00000FFB, A=00000041, B=00000001, add
PC=0000003D, SP=00000FFB, A=00000042, B=00000001, br FFFFFFD4
PC=00000012, SP=00000FFB, A=00000042, B=00000001, ldl 00000004
PC=00000013, SP=00000FFB, A=0000000A, B=00000042, ldl 00000002
PC=00000014, SP=00000FFB, A=00000003, B=0000000A, sub
PC=00000015, SP=00000FFB, A=00000007, B=0000000A, ldc 00000001
PC=00000016, SP=00000FFB, A=00000001, B=00000007, sub
PC=00000017, SP=00000FFB, A=00000006, B=00000007, brz 00000026
PC=00000018, SP=00000FFB, A=00000006, B=00000007, ldc 00000001
PC=00000019, SP=00000FFB, A=00000001, B=00000006, stl 00000001
PC=0000001A, SP=00000FFB, A=00000006, B=00000006, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000006, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000003, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000007, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000001, B=00000007, sub
PC=0000001F, SP=00000FFB, A=00000006, B=00000007, brz 00000016
PC=00000020, SP=00000FFB, A=00000006, B=00000007, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000006, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000006, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000001, B=00000001, add
PC=00000034, SP=00000FFB, A=00000002, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000003, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000007, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000002, B=00000007, sub
PC=0000001F, SP=00000FFB, A=00000005, B=00000007, brz 00000016
PC=00000020, SP=00000FFB, A=00000005, B=00000007, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000005, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000005, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000002, B=00000001, add
PC=00000034, SP=00000FFB, A=00000003, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000003, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000007, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000003, B=00000007, sub
PC=0000001F, SP=00000FFB, A=00000004, B=00000007, brz 00000016
PC=00000020, SP=00000FFB, A=00000004, B=00000007, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000004, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000004, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000003, B=00000001, add
PC=00000034, SP=00000FFB, A=00000004, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000003, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000007, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000004, B=00000007, sub
PC=0000001F, SP=00000FFB, A=00000003, B=00000007, brz 00000016
PC=00000020, SP=00000FFB, A=00000003, B=00000007, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000003, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000003, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000004, B=00000001, add
PC=00000034, SP=00000FFB, A=00000005, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000003, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000007, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000005, B=00000007, sub
PC=0000001F, SP=00000FFB, A=00000002, B=00000007, brz 00000016
PC=00000020, SP=00000FFB, A=00000002, B=00000007, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000002, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000002, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000005, B=00000001, add
PC=00000034, SP=00000FFB, A=00000006, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000003, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000007, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000006, B=00000007, sub
PC=0000001F, SP=00000FFB, A=00000001, B=00000007, brz 00000016
PC=00000020, SP=00000FFB, A=00000001, B=00000007, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000001, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000001, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000006, B=00000001, add
PC=00000034, SP=00000FFB, A=00000007, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000003, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000007, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000007, B=00000007, sub
PC=0000001F, SP=00000FFB, A=00000000, B=00000007, brz 00000016
PC=00000036, SP=00000FFB, A=00000000, B=00000007, ldc 00000001
PC=00000037, SP=00000FFB, A=00000001, B=00000000, ldl 00000002
PC=00000038, SP=00000FFB, A=00000003, B=00000001, add
PC=00000039, SP=00000FFB, A=00000004, B=00000001, stl 00000002
PC=0000003A, SP=00000FFB, A=00000001, B=00000001, ldc 00000001
PC=0000003B, SP=00000FFB, A=00000001, B=00000001, ldl 00000005
PC=0000003C, SP=00000FFB, A=00000041, B=00000001, add
PC=0000003D, SP=00000FFB, A=00000042, B=00000001, br FFFFFFD4
PC=00000012, SP=00000FFB, A=00000042, B=00000001, ldl 00000004
PC=00000013, SP=00000FFB, A=0000000A, B=00000042, ldl 00000002
PC=00000014, SP=00000FFB, A=00000004, B=0000000A, sub
PC=00000015, SP=00000FFB, A=00000006, B=0000000A, ldc 00000001
PC=00000016, SP=00000FFB, A=00000001, B=00000006, sub
PC=00000017, SP=00000FFB, A=00000005, B=00000006, brz 00000026
PC=00000018, SP=00000FFB, A=00000005, B=00000006, ldc 00000001
PC=00000019, SP=00000FFB, A=00000001, B=00000005, stl 00000001
PC=0000001A, SP=00000FFB, A=00000005, B=00000005, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000005, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000004, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000006, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000001, B=00000006, sub
PC=0000001F, SP=00000FFB, A=00000005, B=00000006, brz 00000016
PC=00000020, SP=00000FFB, A=00000005, B=00000006, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000005, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000005, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000001, B=00000001, add
PC=00000034, SP=00000FFB, A=00000002, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000004, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000006, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000002, B=00000006, sub
PC=0000001F, SP=00000FFB, A=00000004, B=00000006, brz 00000016
PC=00000020, SP=00000FFB, A=00000004, B=00000006, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000004, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000004, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000002, B=00000001, add
PC=00000034, SP=00000FFB, A=00000003, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000004, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000006, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000003, B=00000006, sub
PC=0000001F, SP=00000FFB, A=00000003, B=00000006, brz 00000016
PC=00000020, SP=00000FFB, A=00000003, B=00000006, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000003, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000003, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000003, B=00000001, add
PC=00000034, SP=00000FFB, A=00000004, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000004, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000006, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000004, B=00000006, sub
PC=0000001F, SP=00000FFB, A=00000002, B=00000006, brz 00000016
PC=00000020, SP=00000FFB, A=00000002, B=00000006, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000002, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000002, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECA, ldl 00000001
PC=00000033, SP=00000FFB, A=00000004, B=00000001, add
PC=00000034, SP=00000FFB, A=00000005, B=00000001, stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001, br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001, ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001, ldl 00000002
PC=0000001C, SP=00000FFB, A=00000004, B=0000000A, sub
PC=0000001D, SP=00000FFB, A=00000006, B=0000000A, ldl 00000001
PC=0000001E, SP=00000FFB, A=00000005, B=00000006, sub
PC=0000001F, SP=00000FFB, A=00000001, B=00000006, brz 00000016
PC=00000020, SP=00000FFB, A=00000001, B=00000006, ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000001, ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000001, ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5, ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5, sub
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5, brlz 00000001
