duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
3,5.310839,4,5,0,38.41271,2,2,3,0,12,1,1,2,1,1,1
3,3.246181,2.869896,5,0,40,2,2,3,0,11,1,1,1,1,2,1
3,4.557859,2.197409,5,0,40,2,2,3,0,12,0,0,1,1,1,0
1,3.063661,3.115366,5,0,37.489511,0,2,5,0,9.217856,0,1,0,1,2,0
1,2.009708,4,5,2,40,1,2,3,0,11,0,1,1,1,2,0
2,2.034627,5.841605,5,1,40,2,14,5,0,9.681664,1,1,1,1,2,1
1,2.009623,5.526445,5,0,40,1,2,3,0,11,0,1,1,1,2,0
1,5.677808,2.933667,5,0,37.35058,2,2,29.069136,0,11,0,1,1,1,2,1
3,3.762258,4,5,0,40,2,2,3,1,9.281909,0,1,2,1,2,1
1,4.581666,4.350049,4.529156,0,38.289072,2,2,3,1,13,1,1,0,1,2,0
1,1.986386,4,5,2,40,2,3.456801,4,0,11,2,1,1,1,2,0
3,3.451608,6.05434,5,1,40,1,2,3,0,12,1,1,2,1,2,1
3,4.479531,2.320698,5,0,40,2,10,5,0,11,1,1,2,1,1,1
3,6.299768,6.031819,4.544188,2,40,2,2,3,0,13,2,1,1,1,2,1
2,4.489187,4,5,0,37.882576,2,12.319216,6.1229,0,12,1,1,2,1,2,1
2,1.990858,2.014679,5,2,38.115723,0,2,1.815013,1,10.230575,1,0,0,1,0,0
3,3.576213,4,4.596099,0,40,2,2,3,1,13,0,1,2,1,2,1
2,2.03525,4.353856,2.135995,0,37.526398,1,2,0.611092,0,9.196789,1,0,1,0,2,0
1,5.673594,4,5.1,0,40,2,2,5,0,12,2,1,1,1,2,1
3,1.985562,3.099881,5,0,40,2,2,3,1,11,0,1,1,1,2,1
1,2.708658,2.294577,5,1,38.203992,2,2,4,1,11,1,1,2,1,2,1
3,2.026222,2.111741,5,0,37.440486,1,2,3,0,12,1,0,1,1,1,0
1,2.019985,4.497641,5,2,37.649859,2,2,1.625211,0,11,1,1,0,1,1,0
2,2.081235,4.661942,5,0,38.135181,2,2,5,1,11,0,1,1,1,2,1
1,4.065995,4,5,1,37.761217,2,2,24.002723,0,15,1,1,2,1,2,1
3,4.472487,4,1.547859,0,40,2,2,3,0,11,0,1,1,1,2,1
1,3.345119,2.840271,5,1,29.390983,0,12.69345,3,0,11,0,1,1,1,1,1
2,4.480682,6.661011,5.1,1,37.987636,2,2,3,0,15,2,1,2,1,2,1
3,4.496399,4.631343,2.472345,0,40,2,2,3,0,9.37945,1,1,1,1,2,1
3,3.546141,4.695751,5,1,40,2,2,13.031388,0,10.339386,0,1,2,1,2,1
3,3.901689,4,5,1,37.455729,2,2,3,0,15,0,1,2,1,2,1
3,3.807348,4,5,1,40,2,2,3,0,12,1,1,1,1,2,1
3,2.745057,6.497528,5,0,35.1909,2,2,3,0,11,1,1,2,1,2,1
1,3.902455,4.346499,5,0,40,2,10,3,0,11,1,1,1,1,2,1
1,2.002939,4,2.477977,0,40,0,2,3,0,12,0,1,1,1,2,0
3,4.563659,6.021603,5.1,0,39,0,2,3,1,15,2,1,1,1,2,1
3,4.391731,6.021427,5,0,36.347402,2,2,3,0,11,2,1,1,1,2,1
1,3.80879,4,5,0,40,0,2,1.877765,0,9.776014,0,1,1,1,2,0
3,4.169225,2.303091,5,0,40,2,14.103007,3,0,11,1,1,1,1,2,1
3,3.602651,3.000919,5,0,37.375752,2,2,3,0,11,0,1,2,1,2,1
2,6.365082,6.356381,5,0,34.130393,2,2,4,0,11,2,1,1,1,2,1
2,3.170753,3.206004,3.030863,1,40,2,2,0.872251,0,15,1,1,0,1,1,1
1,2.002111,4,5,0,39,2,2,3,0,11,1,1,1,1,2,0
2,4.399315,4.507164,2.071856,1,40.405386,2,2,4,1,13,2,1,1,1,2,1
3,6.263482,5.516908,5,0,38.047599,2,2,5,0,11,0,1,1,1,2,1
2,4.494603,4,5,2,31.811115,2,2,9.263844,0,15,0,1,2,1,1,1
3,3.545187,2.868959,5,1,37.145553,2,2,4,0,15,1,1,1,1,2,1
3,2.029969,4,4.204268,1,40,0,2,5,0,9.125555,1,1,1,1,2,0
3,4.471795,3.215065,4.527875,0,38.127513,2,2,3,0,13,0,1,2,1,2,1
1,7.490395,4,5,0,37.795544,2,2,1.993606,0,11,2,1,1,1,2,1
2,6.003956,3.126047,5,0,40,2,2,4,0,11,1,1,1,1,2,1
2,6.054955,4,5,2,34.525167,2,2,3,1,11,1,1,2,1,0,0
2,3.925868,2.75933,5,2,40,2,2,3,1,11,0,1,1,1,2,1
3,3.766172,2.890802,4.522304,0,40,2,2,12.47859,0,13,2,1,1,1,1,1
2,2.546555,3.113222,5,0,37.76775,1,2,1.625302,0,10.530953,0,0,1,0,1,0
2,2.85647,2.975319,5,1,39,0,2,5,0,11,1,1,1,1,0,0
2,4.46428,4.729976,5,0,36.253808,1,10,12.158277,1,11,0,1,2,1,2,1
2,6.295455,6.206735,5,0,35.928907,2,2,4,0,15,0,1,1,1,1,1
2,3.619958,6.325507,2.786166,0,40,0,2,3,0,13,0,1,0,1,1,0
1,2.643147,6.213326,5,0,37.544524,2,2,5,1,11,1,1,1,1,2,1
2,3.088003,2.929729,2.008933,0,30.876348,0,2,3,0,9.506468,1,0,0,0,0,0
3,4.13115,4,5,0,37.898778,2,2,5,0,12,2,1,2,1,2,1
1,3.826882,4,5,0,37.764063,0,2,3,1,11,2,0,0,1,0,0
3,2.007869,2.360094,5,0,40,2,2,14.064904,0,11,1,1,1,1,2,0
3,5.37043,5.446434,5,0,36.078575,2,2,3,0,11,2,1,2,1,2,1
2,5.336579,4.515996,5,1,37.367696,2,2,4,0,9.479684,1,1,2,1,2,1
2,2.527516,3.192173,5,2,40,0,2,3,0,10.647677,0,1,0,0,0,0
3,1.983671,2.030572,5,2,40,1,12.744347,3,0,12,0,1,0,1,2,0
3,3.991054,4,5,1,40,2,2,4,0,11,1,1,2,1,2,1
2,4.564574,2.299972,5,0,31.023318,2,2,14.303171,0,11,2,1,2,1,2,1
1,2.023157,4,5,0,40,2,2,4,0,9.198695,0,0,1,0,1,0
3,5.270217,5.03931,5,2,37.906063,2,2,3,0,12,1,1,1,1,2,1
2,4.468128,5.418285,5,0,38.228736,2,2,3,0,11,1,1,2,1,2,1
2,2.607366,5.927035,5,0,37.193793,2,2,3,1,12,1,1,0,1,1,1
3,2.896496,3.193296,5,0,36.593281,2,2,3,0,12,2,1,1,1,2,1
2,3.644835,4,5,0,40,2,2,5,1,11,2,1,1,1,2,1
3,2.624623,5.298672,5,0,40,2,2,3,1,11,0,0,1,0,1,1
3,4.43554,4.618918,5,0,37.836927,2,2,5,0,11,2,1,2,1,2,1
3,2.063366,4,5,0,37.78514,2,2,5,0,11,2,0,1,1,2,1
2,3.753963,4,2.039852,2,40,0,2,3,0,9.914459,0,1,1,1,0,0
3,2.035874,2.585761,5,0,40,2,2,1.757891,0,9.53178,0,1,1,1,2,0
2,4.616049,4.557204,4.61879,0,40,2,2,5,0,9.556647,2,1,2,1,2,1
3,1.9546,1.934224,5,0,32.311395,2,2,3,1,11,0,1,2,1,2,1
2,2.955951,2.942606,5,1,40,0,2,1.082727,0,11,0,1,0,1,2,0
2,4.484126,4.479045,5,0,37.658182,2,2,3,0,11,1,1,1,1,2,1
3,3.776323,4,5,2,38.195787,0,2,3,0,11,0,1,0,1,1,1
3,3.838808,4.467213,5,0,40,2,2,2.864397,0,11,1,1,2,1,2,1
2,4.476973,4.51497,4.654022,1,40,2,14,5,0,13,1,1,2,1,2,1
2,4.768904,4.509668,2.796324,0,33.558012,2,2,4,0,15,2,1,2,1,2,1
2,4.58193,4.467053,5,0,40,2,2,5,0,11,1,1,1,1,2,1
3,4.225964,4.460772,5.1,0,40,2,2,32.381944,0,13,2,1,1,1,2,1
2,3.729499,2.467625,5,0,31.908013,2,2,3,0,12,2,1,1,1,1,1
2,3.346249,4,1.986513,0,35.62989,2,2,3,0,9.295928,2,1,1,1,0,0
3,3.710012,4,5,1,38.896002,2,12.335561,5,1,11,0,0,2,0,2,1
2,4.350914,4,5,0,40,1,2,5,0,11,1,1,2,1,2,1
2,4.484708,4,2.153657,2,40,0,2,3,0,9.179961,0,1,1,1,2,0
3,6.609403,4.498189,5.1,0,37.686479,2,2,3,0,13,2,1,1,1,1,1
1,3.707146,2.726164,5,0,40,2,9.24793,3,1,9.71636,0,1,0,0,2,0
2,2.625742,2.660661,2.076117,0,31.95825,0,2,2.848123,0,12,1,1,1,1,0,0
1,1.993765,4,5,0,37.558961,1,2,3,1,11,1,0,0,0,0,0
2,3.631811,4,5,0,40,2,2,5.492863,0,12,0,1,1,1,2,1
2,3.627722,2.139,2.040586,0,35.765451,0,2,3,0,9.334788,1,0,1,1,2,0
2,5.146165,4.32919,2.083058,0,40,0,3.34256,5,0,15,1,0,1,1,1,0
3,5.513749,4.336516,5,0,36.965143,2,2,3,0,11,2,1,2,1,2,1
2,4.468228,4,5,0,32.326605,2,2,3,1,9.584501,2,1,1,1,2,1
2,5.794802,3.187243,5,0,40,2,2,3,0,12,2,1,2,1,2,1
2,4.488358,4,5,0,34.786324,2,12.971354,7.777382,0,12,2,1,2,1,2,1
2,3.687171,4,5,0,38.190776,2,2,3,0,11,0,1,2,1,0,1
2,2.01199,2.193513,5,0,39,0,2,3,1,11,0,1,0,1,2,0
1,2.85535,4,5,2,37.638886,1,2,4,1,11,2,1,2,1,2,1
2,4.390327,4,3.43576,0,40,2,2,5,0,9.307812,1,1,1,1,2,1
2,2.036563,3.017542,5,0,40,2,2,1.073849,0,9.473079,0,1,1,1,2,0
2,5.921895,4,5,0,40,2,14,8.116724,0,11,1,1,1,1,2,1
2,4.37303,4,5,0,32.236748,2,2,5,0,12,2,1,2,1,2,1
2,4.486625,4.848861,5,1,37.356463,2,2,3,0,9.998927,0,1,1,1,2,1
2,3.582941,4,5,2,31.678456,0,2,3,1,9.521832,0,0,0,1,0,0
3,6.457996,6.215358,5,0,37.799698,2,2,3,0,11,1,1,1,1,2,1
2,2.892577,3.42131,5,1,40,2,2,3,0,13,0,1,1,1,0,0
2,4.480147,4,5,0,38.247505,2,2,3,0,12,0,0,1,1,2,1
3,5.799304,6.742748,5,2,40,1,2,5,0,9.043793,0,0,0,1,0,0
2,3.503644,4,5,0,37.794389,2,2,4,0,11,1,1,1,1,1,1
1,1.988437,4,5,0,37.558696,0,2,3,0,9.435678,1,1,0,1,2,0
3,2.038019,3.157596,2.076959,0,40,2,2,3,0,9.637352,2,0,1,0,1,0
2,2.527021,6.506342,5,0,40,0,2,5,0,12,0,0,2,0,2,0
3,4.4936,4.512864,3.403272,0,36.781206,2,2,1.971709,0,9.756579,1,1,1,1,2,1
3,5.801376,4.658455,5,1,36.07928,2,2,3,0,11,0,1,2,1,2,1
2,4.981664,4.404221,5,1,37.126815,2,2,4,0,11,0,1,0,1,2,1
3,1.997083,4.474936,5,0,40,2,2,3,1,11,0,1,1,1,1,1
2,5.616537,4.582833,5.1,0,37.414197,2,2,5,0,13,1,1,2,1,2,1
3,1.978258,2.882818,5,2,37.670292,0,2,5,0,9.989044,0,0,1,0,1,0
3,4.546324,2.381935,5,1,39.736579,2,2,3,0,11,2,1,2,1,2,1
2,4.492232,3.186072,5,0,37.310525,2,14,0.565135,0,12,2,1,2,1,2,1
2,4.444143,5.840805,5,0,40,1,12.673405,4.646194,0,15,0,1,1,1,2,1
1,1.983713,4,2.121805,0,40,2,2,5,1,15,0,1,0,1,0,0
2,2.283389,5.365603,5,0,39,0,2,3,1,9.839335,1,0,0,1,1,0
1,1.952126,4,5,0,40,2,2,3,0,11,0,1,1,1,2,0
2,4.596756,4.433528,5,2,40,2,10,2.658113,1,11,0,1,1,1,2,1
2,4.526029,4.369485,2.518985,1,38.937484,2,14,13.797639,0,10.273,2,1,1,1,2,1
1,7.522206,4.578931,5,0,31.187658,2,2,4,0,12,0,1,1,1,2,1
2,2.054779,2.655549,2.011477,0,40,1,2,3,0,9.992191,0,1,2,1,0,0
2,4.482833,4,5,0,37.888497,2,2,11.935208,0,11,0,1,2,1,2,1
2,3.918638,2.380002,5.1,0,40,1,2,4,0,15,1,0,0,1,0,0
3,4.56213,4,5,1,37.531172,2,2,3,0,11,0,1,2,1,2,1
2,5.703343,4.561282,5,0,40,2,2,3,0,12,1,1,0,1,1,1
2,4.546584,4,4.616835,0,37.64006,2,2,5,0,11,2,1,2,1,2,1
1,3.034571,2.737923,5,0,33.225928,2,2,4,0,11,2,1,2,1,2,1
3,4.547328,4.506334,5,0,40,2,12.286132,2.32232,1,12,0,1,1,1,1,1
2,4.436722,3.337297,5.1,2,33.680481,2,2,5,0,12,2,1,1,1,2,1
1,2.283168,1.781083,5,0,40,0,2,-1.042836,1,11,0,1,0,1,0,1
3,2.008545,2.252091,5,0,37.98087,2,5.593081,0.945627,0,9.567506,0,1,1,1,0,0
2,2.778634,2.040463,5,0,37.334573,0,2,3,0,13,0,1,0,1,1,0
2,4.514223,4,5,0,30.240253,2,2,5,1,11,1,1,1,1,2,1
3,4.098081,3.266304,5,0,37.926107,2,10,-0.19847,0,11,2,1,2,1,2,1
2,2.461286,4.646742,2.789527,1,40,2,2,5,1,13,2,1,1,1,2,1
2,3.354868,4,5,2,40,0,2,3,0,11,0,1,1,1,0,0
2,2.802865,3.116003,5,2,37.401602,0,2,3,0,9.026642,0,1,1,1,0,0
2,3.674272,4.517912,5,1,37.131212,2,2,3,0,11,1,1,2,1,2,1
2,6.477301,3.082384,2.64601,0,40,2,2,1.569881,0,15,0,1,1,1,2,0
3,5.977098,2.185233,5,1,40,2,14,1.019498,0,11,2,1,1,1,1,1
3,4.084381,2.280356,5,0,40,1,12.403289,3,0,12,2,1,2,1,2,1
2,3.555418,4.986328,5,0,34.392657,2,2,3,1,12,1,1,1,1,2,1
2,4.535241,4.585189,5,0,40,2,2,5,0,11,0,1,2,1,2,1
3,3.87795,4,5,0,40,2,2,7.176785,0,11,1,1,2,1,2,1
3,3.676932,6.193445,5,0,37.998495,2,2,3,1,11,0,1,2,1,2,1
1,5.449544,4.771872,2.754205,0,38.072473,2,2,4,0,12,0,1,1,1,2,1
3,3.776858,4,5,0,38.381204,2,2,3,0,11,0,1,2,1,2,1
2,2.000333,4,1.980736,0,40,0,2,3,0,15,0,0,0,0,0,0
3,4.544664,4.720607,5,0,34.345506,2,2,0.307838,1,11,1,1,1,1,2,1
1,3.545027,2.313653,5,0,38.008012,2,10,4,1,12,0,1,0,0,1,1
2,4.515692,4,5,0,40,0,2,4,1,12,1,1,1,1,2,1
2,7.03696,6.177132,5,2,40,2,2,3,0,11,2,1,2,1,2,1
2,4.429026,4,5,0,38.1092,2,2,3,0,11,0,1,1,1,1,1
1,2.527365,2.958407,5,2,38.107972,1,2,3,0,9.652421,1,1,0,1,0,0
2,2.77394,2.618292,5,0,40,0,2,0.459579,0,11,0,0,0,0,0,0
3,3.846976,4,5,0,40,2,2,3,0,11,1,1,2,1,1,1
1,2.944899,4,5,1,40,2,2,10.386243,0,9.981964,1,1,1,1,1,1
3,4.576252,4.492137,5,1,40,2,2,3,0,15,1,1,1,0,1,1
3,4.175469,3.156479,5,0,31.249107,2,2,3,1,12,0,1,1,1,2,1
2,4.512549,4.483895,5,0,36.542249,2,2,5,1,11,2,1,1,1,2,1
2,3.250825,4.599297,5,0,40,0,14,4,0,10.299572,2,1,1,1,0,0
2,4.614716,2.127208,5,0,40,2,2,5,0,11,1,1,1,1,2,1
2,4.565668,4,5,1,40,2,2,3,0,12,1,1,2,1,2,1
2,4.504424,4,4.542866,0,40,2,2,1.956812,0,15,2,1,2,1,2,1
2,4.637286,4,5,0,39.824414,2,2,4,0,12,0,1,1,1,2,1
2,3.401173,4,1.426179,0,40,2,2,3,0,9.265703,0,0,1,0,1,0
3,2.043572,2.661268,5,0,37.79155,0,2,3,1,11,0,1,2,1,0,0
1,1.97625,6.128426,2.012059,0,40,0,2,3,0,9.438388,1,1,1,1,0,0
2,4.430604,6.162207,5,0,34.693796,2,12.685035,5,0,11,2,1,2,1,2,1
1,2.03215,2.881912,5,0,37.225538,2,2,4,0,11,2,1,1,1,2,1
2,4.409071,4,2.714223,0,37.510755,0,2,3,0,15,2,1,2,1,1,1
3,1.984317,3.340939,2.026336,0,37.245845,2,2,3,0,13,2,1,2,1,2,1
3,1.979496,5.379518,5,0,37.559408,2,2,4,0,10.538529,2,1,1,1,2,0
2,4.544438,4.446299,5.1,0,37.798772,2,2,4,1,13,1,1,1,1,2,1
3,2.013958,2.52185,1.988964,0,39,0,2,5,0,9.419354,1,0,1,1,0,0
1,4.407626,4,5,0,37.884237,2,12.199544,4,0,12,0,1,1,1,1,1
3,1.981669,2.712969,5,2,40,2,2,0.629929,0,9.961742,0,0,1,1,1,0
1,4.472443,4,5,1,37.73266,2,2,6.231817,0,11,0,1,1,1,2,1
2,3.770513,4.414479,5,1,36.637072,2,2,4,0,12,0,1,1,1,2,1
2,1.977771,2.484271,5,0,40,0,2,2.266738,0,9.389687,0,0,1,1,2,0
3,4.917871,4.597568,5,0,40,1,2,3,0,12,1,1,1,1,2,1
2,5.228086,2.48579,2.954786,1,40,2,11.173353,5,0,12,0,1,1,1,2,1
1,1.998384,4.317223,5,0,38.18323,1,5.333059,4,0,11,0,1,1,1,2,0
2,6.053163,6.190961,1.141094,0,40,2,2,3,0,10.122714,2,1,1,1,2,1
2,4.470474,4,5,1,32.377854,0,2,20.051296,0,11,2,1,2,1,1,1
3,5.94224,4.449672,5,0,40,2,2,5,0,11,0,1,1,1,2,0
2,4.52614,4,1.812373,2,37.320801,0,2,0.256902,0,10.002497,0,1,1,1,0,0
2,5.628057,4.855768,5,0,40,2,10,2.651733,0,11,0,1,1,1,2,1
1,1.992017,1.646642,5,0,37.837098,2,2,5,0,10.255432,0,0,1,0,2,0
1,4.530811,4.900544,1.979771,0,40,2,2,4,0,9.248813,0,1,1,1,1,0
2,4.602998,4.372467,2.426936,0,40,2,12.564563,5,0,12,2,1,1,1,1,1
1,5.629627,4,4.62814,0,40,2,2,2.410585,0,13,1,1,2,1,2,1
3,5.078466,2.56183,5,0,35.427626,2,2,3,0,11,0,1,2,1,2,1
2,4.452553,4,5,0,40,2,2,3,1,15,0,1,1,1,2,1
1,2.79428,3.349816,5,1,37.221355,2,14,5,0,10.696957,0,1,1,1,2,1
3,1.952052,2.539814,5,0,37.914093,2,2,3,0,11,1,1,1,1,2,0
2,4.398678,2.347906,5,0,37.584714,2,14,5,1,9.607828,2,1,1,1,2,1
2,4.440253,4,4.595972,0,40,2,2,5,0,13,2,1,2,1,2,1
3,4.909378,4.34801,5,0,37.508833,2,2,3,0,11,2,1,1,1,1,1
1,2.389873,4,5,0,31.169689,2,12.593308,16.199288,0,11,1,1,2,1,2,1
3,4.522562,4,5,0,40,2,2,4,0,9.6195,2,1,1,1,2,1
3,5.95554,4,5,0,33.158519,2,2,3,0,9.491686,2,1,1,1,2,1
3,2.993262,5.118616,2.823477,0,40,2,2,5,0,12,0,1,1,1,2,0
2,4.44617,4,5,2,40,2,14,4,0,11,2,1,1,1,2,1
1,6.103458,4,5,0,40,2,12.544403,5,1,11,1,1,2,1,2,1
1,4.969429,4,5,0,40,2,2,4,0,11,1,1,1,1,1,1
1,2.716908,3.310974,5,0,40,0,2,4,0,11,0,1,1,1,2,0
2,2.517037,3.41905,5,0,40,2,2,3,0,11,1,0,1,0,2,0
2,4.414159,5.019918,5,0,37.959425,2,2,5,1,11,2,1,2,1,2,1
3,1.988429,2.146327,4.101899,0,37.870537,1,10,4,0,11,0,1,0,1,2,0
3,2.624117,2.456451,5,0,31.296023,1,2,3,1,11,0,1,0,1,1,1
2,4.473979,4.987343,2.047271,0,36.460954,2,2,5,0,11,2,1,1,1,2,1
3,1.999381,2.755414,5,0,37.880955,2,2,3,1,11,2,1,1,1,2,1
2,3.75273,4,5,2,37.432838,0,2,3,0,12,1,1,1,1,0,0
2,4.480042,4,5,0,40,2,2,4,0,12,0,1,2,1,2,1
2,2.496092,2.404034,5,2,40,0,14,1.666113,0,13,0,0,0,1,0,0
3,3.21713,4,4.507748,0,33.173058,2,2,4,1,11,1,1,1,1,2,1
1,1.999153,4,1.251307,0,38.418354,0,2,3,0,10.638656,1,0,0,0,2,0
2,3.559859,2.819028,4.600925,0,37.835582,2,2,3,0,13,0,1,1,1,2,1
2,2.966695,3.240992,5,0,40,2,2,4,0,15,1,1,1,1,2,1
2,2.806261,4.754765,2.148844,0,40,0,2,9.801482,0,10.097347,0,1,1,1,2,0
3,4.976493,4,5,0,40,2,2,8.390228,1,12,2,0,2,1,2,1
2,4.574983,4,5,0,37.51671,2,2,3,1,9.684988,0,1,1,1,1,1
2,2.095147,2.085671,5,1,37.359903,2,2,3,0,12,0,1,1,1,1,1
2,2.832421,5.757122,5,2,40,2,7.013065,3,0,15,1,1,1,1,2,1
1,4.975687,4,5,1,40,2,2,4,0,11,2,1,1,1,2,1
1,1.952771,3.159968,5,2,37.718582,0,2,-4.096162,0,10.066185,0,1,1,1,2,0
2,2.686113,2.645962,5.1,0,40,2,2,4,0,11,1,1,1,1,2,1
2,3.812095,4,5,0,40,1,2,3,0,9.519612,0,0,1,1,1,0
1,5.873815,4.965665,5,0,40,2,2,3,0,11,1,1,2,1,2,1
3,3.218093,4,5,0,34.74347,2,2,3,0,15,0,1,1,1,2,1
2,2.565625,2.151539,5,2,37.553644,2,2,3,0,10.52892,1,1,0,1,1,0
3,1.948119,2.374305,5,0,37.820377,0,2,3,0,8.949396,0,0,1,1,2,0
3,1.990238,2.928971,4.654698,0,32.028451,2,2,3,1,9.223603,0,1,1,1,1,1
2,3.489181,2.392698,5,0,37.446194,2,2,4,0,11,0,1,1,1,2,1
1,3.014261,2.968018,5,0,37.773609,2,2,4,0,15,0,0,1,1,1,1
1,3.062117,5.597893,5,0,40,2,2,9.369487,1,11,1,1,1,1,1,1
1,2.006511,4,2.621626,0,36.873492,0,13.376602,3,1,9.782982,2,0,0,0,2,0
3,5.06988,5.800288,5,0,38.211897,2,2,7.392653,1,11,0,1,0,1,0,1
2,4.476995,4.532967,5,0,32.186262,2,14,5,0,13,1,1,2,1,2,1
2,3.662086,5.784445,1.99173,2,39,2,2,4,1,11,0,1,1,1,2,0
2,4.461664,4.548251,5,1,40,2,11.952335,4,0,12,2,1,1,1,2,1
2,4.512612,4,5,0,40,2,14,9.034974,0,12,0,1,1,1,1,1
3,3.854265,4,5,2,35.937673,2,2,4.622107,0,10.349297,1,1,2,1,2,1
1,6.551893,4,5,0,38.534601,2,8.317755,9.465052,0,9.947207,1,1,1,1,2,1
2,3.37949,4.666517,5,0,38.111163,0,2,3,1,11,1,1,0,1,0,0
3,1.998382,4,5,0,30.355555,2,2,3,1,12,1,1,1,1,2,1
1,2.710139,4,2.09593,0,40,0,2,7.606661,0,8.428455,1,0,0,1,0,0
2,3.598344,5.932616,5,0,40,1,12.669589,1.943777,0,12,2,1,1,1,2,0
2,1.976524,4,5,0,40,0,2,1.512708,0,12,0,1,0,1,2,0
3,4.314295,4.524847,5,0,37.850049,1,2,3,0,13,2,1,1,1,1,1
1,2.637289,4,5,0,38.439141,2,2,15.993974,0,12,2,1,1,1,2,1
2,4.660798,1.894057,5,0,40,2,2,11.338995,0,11,1,1,2,1,2,1
2,4.503326,4,5,0,40,1,2,3,0,11,1,1,1,1,2,1
3,5.377146,4.575782,2.626678,2,37.792293,2,2,3,0,11,0,1,2,1,2,1
2,6.307211,4.545718,5,0,40,2,2,3,0,10.184346,0,1,1,1,2,1
2,3.283822,2.086916,5,0,40,2,2,5,0,12,0,1,1,1,2,1
2,6.594918,2.995733,5,0,40,2,2,4,0,11,1,1,2,1,2,1
2,1.995465,4,5,0,40,0,2,2.136829,0,11,0,0,1,1,1,0
3,3.092243,2.972129,5,0,40,0,2,3,1,12,0,0,0,1,0,0
3,7.122482,4.565445,5,0,40,2,2,4,0,11,1,1,2,1,2,1
3,2.023221,2.96798,5,0,38.04284,2,2,3,1,12,2,1,1,1,2,1
3,3.911125,3.065466,5,0,40,0,14,3,1,11,1,1,2,1,2,1
2,3.050011,3.479243,5,2,40,0,8.402827,4,0,11,2,1,1,1,2,0
2,2.039673,2.465182,5,0,29.771044,0,2,0.061872,0,11,1,0,1,1,1,0
2,2.58562,4,0.542453,0,40,2,2,3,0,9.147603,2,1,1,1,2,0
3,3.58239,4.478186,2.51232,1,37.28461,2,2,3,0,11,0,1,1,1,2,1
2,1.966681,5.937212,5,0,40,2,2,5,1,12,0,1,2,1,2,1
1,2.040942,4,5,0,40,2,2,0.733953,1,9.68697,1,1,0,1,2,0
1,3.922814,5.595499,5,0,34.799392,0,2,23.779358,0,12,2,1,1,1,2,1
2,2.032453,2.478871,5,0,37.583972,0,2,3,0,9.980582,0,1,1,1,2,0
2,3.741837,4,5,0,37.717926,2,10,5,1,11,1,1,2,1,2,1
2,3.679964,2.363461,5,0,37.784634,0,2,3,0,8.821558,1,1,0,1,2,0
2,3.592265,2.074122,5,0,38.071347,2,2,3,0,9.55651,0,1,1,0,2,0
2,4.608795,4,5,0,34.349279,2,14,5,0,11,2,1,1,1,1,1
3,2.011597,3.355305,5,0,40,0,2,3,0,12,0,1,1,1,2,0
2,3.722712,4,5,1,40,2,12.92293,4,0,12,0,1,1,1,2,1
2,3.870833,5.553302,5,0,32.029446,2,2,3,1,12,0,1,2,1,2,1
3,5.487579,4.738595,5,0,38.558774,2,2,3,0,15,2,1,1,1,2,1
3,2.027732,2.531552,5,0,40,1,6.694535,4,1,11,2,0,0,1,1,0
3,4.47182,2.156764,2.107859,0,40,2,2,3,0,10.142325,2,1,1,1,2,1
2,4.002642,4,5,0,40,2,2,3,1,12,0,1,2,1,2,1
3,3.672952,2.602254,4.660774,1,37.735107,1,2,3,0,13,0,1,2,1,2,1
2,1.95826,2.935726,5,1,40,2,2,3,0,13,0,0,1,1,1,0
2,1.954867,3.037403,5,0,40,2,2,3,0,10.022582,0,1,1,1,2,0
2,4.378711,4,5,0,38.615131,2,2,1.666522,0,11,0,1,2,0,2,1
2,4.458489,2.169986,5,1,33.799831,2,2,0.746051,0,11,2,1,2,1,2,1
1,2.345731,4.617801,5,2,39,2,2,0.899062,0,12,2,1,1,1,2,1
2,3.552054,4,2.06277,0,37.434826,2,2,27.015172,0,15,1,0,1,1,0,0
1,2.693681,6.628695,5,0,38.393939,2,2,1.356755,1,12,2,1,1,1,2,1
2,6.374575,5.488067,5,2,38.786285,2,13.792852,5,0,12,1,1,1,1,2,1
2,4.475794,4,5,0,35.891112,2,14,5,0,11,0,1,1,1,2,1
3,4.415501,2.134862,5,0,37.986363,2,2,3,0,11,1,1,2,1,2,1
2,4.539491,4,5,1,35.555586,2,2,8.598518,0,11,0,1,1,1,2,1
2,3.897022,2.373752,2.89004,0,40,2,2,3,0,10.59508,1,1,1,1,2,1
2,2.657846,4,5,0,37.237296,0,2,3,0,10.068052,2,1,1,1,0,0
3,3.349792,2.797743,5,0,40,2,2,6.637084,0,11,1,1,2,1,2,1
2,2.012147,4.641374,2.189693,0,40,1,13.890026,5,1,10.096684,1,0,0,1,0,0
3,4.447285,4.68231,4.665225,0,37.670145,1,2,3,1,13,0,1,1,1,2,1
3,5.92626,4.497109,5,0,28.559752,2,2,3,0,11,0,1,1,1,2,1
1,2.745481,2.982921,5,0,37.380804,1,2,3,0,10.275912,0,1,1,0,0,0
2,4.774928,4.72687,5,0,40,2,2,15.872102,0,12,0,1,1,0,2,1
3,1.997773,2.835822,2.130116,2,39,2,2,5,0,9.861074,0,1,1,1,2,0
